Code;svenska;shortTitle;inclusion;exclusion;criteria;consider;note
K88;Ortostatisk hypotoni;Postural hypotension;idiopathic/orthostatic hypotension;hypotension due to drugs A85;"signs or symptoms of cerebrovascular insufficiency (dizzines, syncope) on changing from the supine to the upright position; and a fall in mean blood pressure of 15 mm Hg on two or more occasions when changing from the supine to the upright position";low blood pressure K29;
K89;Transitorisk cerebral ischemi;Transient cerebral ischaemia;"basilar insufficiency; drop attacks; transient global amnesia; transient ischaemic attack (TIA)";"carotid bruit K81; cerebrovascular accident K90; migraine N89";symptoms of transient (less than 24 hours) hypofunction of the brain, with sudden onset, presumed of vascular origin, without sequelae and with exclusion of migraine/migraine equivalent/ epilepsy;fainting/syncope A06;double code with K91
K90;Hjärnslag / cerebrovaskulär skada;Stroke/cerebrovascular accident;"apoplexy; cerebral embolism/infarction/thrombosis/occlusion/ stenosis/haemorrhage; cerebrovascular accident  (CVA); subarachnoid haemorrhage";"transient cerebral ischaemia K89; traumatic intracranial haemorrhage N80";signs and symptoms of a disturbance of cerebral function, presumed of vascular origin, lasting more than 24 hours or causing death, and within four weeks (28 days) of onset;;double code with K91
K91;Cerebrovaskulär sjukdom;Cerebrovascular disease;"cerebral aneurysm; sequelae of stroke";;"previous transient cerebral ischaemia/stroke; or investigation evidence of cerebrovascular disease";;
K92;Atheroskleros / perifer vaskulär sjukdom;Atherosclerosis/periph vascular dis;"arterial embolism/thrombosis/stenosis; arteriosclerosis; atheroma; endarteritis; gangrene; intermittent claudication; limb ischaemia; Raynaud's syndrome; vasospasm";"mesenteric atherosclerosis D99; ophthalmic/retinal  atherosclerosis F99; Ischaemic heart disease with angina K74; Acute myocardial infarction K75; Ischaemic heart disease without angina K76; pulmonary atherosclerosis K82; cerebral atherosclerosis (transient cerebral ischaemia) K89; cerebral atherosclerosis (stroke/cerebrovascular accident) K90; aneurysm K99; renal atherosclerosis U99";;;
K93;Lungemboli;Pulmonary embolism;"pulmonary (artery/vein) infarction; thromboembolism; thrombosis";;sudden onset of dyspnoea/tachypnoea and either clinical or imaging evidence of pulmonary infarction, or ECG evidence of acute right ventricular strain;dyspnoea R02;
K94;Flebit / tromboflebit;Phlebitis/thrombophlebitis;"phlebothrombosis; portal thrombosis; superficial/deep vein thrombosis";"cerebral thrombosis K89; Stroke/cerebrovascular accident K90";;;
K95;Åderbråck på ben;Varicose veins of leg;"varicose eczema; venous insufficiency; venous stasis";varicose ulcer S97;"presence of dilated superficial veins in lower extremities; or demonstration of valve incompetence of veins";prominent veins K06;
K96;Hemorrojder;Haemorrhoids;"internal haemorrhoids with/without complications; perianal haematoma; piles; residual haemorrhoidal skin tag; thrombosed external haemorrhoids; varicose veins of anus/rectum";;"visualization of varicosities of the venous plexus of the anus or canal; or tender, painful, blue-coloured localized swelling of acute onset, in the perianal area; or skin tags in the perianal area";"anal pain D04; rectal bleeding D16; anal lump D29";
K99;Annan sjukdom i cirkulationsorganen;Cardiovascular disease other;"aortic aneurysm; arteriovenous fistula; arteritis; lymphoedema; oesophageal varices; other aneurysm; polyarteritis nodosa; varicose veins of sites other than lower extremities; vasculitis";"chronic/non-specific lymphadenitis B71; cerebral aneurysm K91; gangrene K92; atherosclerotic arterial stricture/stenosis K92";;;
L01;Nacksymptom / -besvär;Neck symptom/complaint;pain attributed to cervical spine/musculoskeletal system;"headache N01; pain in face N03";;;
L02;Ryggsymptom/ - besvär;Back symptom/complaint;"backache NOS; thoracic back pain";low back pain L03;;;
L03;Korsryggsbesvär utan utstrålning;Low back symptom/complaint;"back pain (lumbar/sacroiliac); coccydynia; lumbago; lumbalgia";"thoracic back pain L02; sciatica L86";;;
L04;Bröstkorgssymptom / -besvär;Chest symptom/complaint;chest pain attributed to musculoskeletal system;"chest pain NOS A11; pain attributed to the heart K01; painful respiration/pleuritic pain/pleurodynia R01";;;
L05;Flank- / armhålesymptom/besvär;Flank/axilla symptom/complaint;loin pain;kidney symptom U14;;;
L07;Käksymptom /-besvär;Jaw symptom/complaint;temporomandibular joint symptom;teeth/gum symptom/complaint D19;;;
L08;Skuldersymptom / -besvär;Shoulder symptom/complaint;;;;;
L09;Armsymptom / -besvär;Arm symptom/complaint;;muscle pain/myalgia L18;;;
L10;Armbågssymptom/ -besvär;Elbow symptom/complaint;;;;;
L11;Handlovssymptom /-besvär;Wrist symptom/complaint;;;;;
L12;Hand- & fingersymptom/ -besvär;Hand/finger symptom/complaint;;;;;
L13;Höftsymptom/ -besvär;Hip symptom/complaint;;;;;
L14;Lår- /vadsymptom / -besvär;Leg/thigh symptom/complaint;leg cramps;"muscle pain/myalgia L18; restless legs N04";;;
L15;Knäsymptom /-besvär;Knee symptom/complaint;;;;;
L16;Vristsymptom /-besvär;Ankle symptom/complaint;;;;;
L17;Fot- / tåsymptom/ -besvär;Foot/toe symptom/complaint;metatarsalgia;;;;
L18;Muskelsmärta;Muscle pain;"fibromyalgia; fibrositis; myalgia; panniculitis; rheumatism";"pain in neck L01; pain in back L02; pain in lower back L03; leg cramps L14";;;
L19;Symptom / besvär i flera/ospec. muskler;Muscle symptom/complaint NOS;"atrophy/wasting/weakness of muscle; muscle stiffness/strain";"pain in neck L01; pain in back L02; pain in lower back L03; leg cramps L14; 'growing pains' in child L29; restless legs N04";;;
L20;Symptom / besvär i flera/ospec. Leder;Joint symptom/complaint NOS;"arthralgia; effusion/swelling of joint; pain/stiffness/weakness in joint";"Jaw symptom/complaint L07; Shoulder symptom/complaint L08; Elbow symptom/complaint L10; Wrist symptom/complaint L11; Hand/finger symptom/complaint L12; Hip symptom/complaint L13; Knee symptom/complaint L15; Ankle symptom/complaint L16; Foot/toe symptom/complaint L17";;;
L26;Rädsla för muskuloskeletal cancer;Fear of cancer musculoskeletal;;if the patient has the disease, code the disease;concern about/fear of cancer of musculoskeletal system in a patient without cancer/until the diagnosis is proven;;
L27;Rädsla för annan muskuloskeletal sjukdom;Fear of musculoskeletal dis other;;"fear of musculoskeletal cancer L26; if the patient has the disease, code the disease";concern about/fear of a musculoskeletal disease in a patient without the disease/until the diagnosis is proven;;
L28;Funktionsbegränsning / handikapp (L);Limited function/disability (L);;"falls A29; limping/walking difficulties/gait problems N29";limitation of function/disability due to a musculoskeletal problem;;The COOP/WONCA Charts are suitable for documenting the patient's functional status (see Chapter 8).
L29;Annat muskuloskeletalt symptom / besvär;Musculoskeletal sympt/complt other;'growing pains' in a child;clubbing of fingernails S22;;;
L70;Infektion i muskuloskeletalt organ;Infection of musculoskeletal system;"infective tenosynovitis; osteomyelitis; pyogenic arthritis";"Reiter's disease L99; late effect of polio N70";infection localized in musculoskeletal system;;
L71;Malign tumör i muskuloskeletalt organ;Malignant neoplasm musculoskeletal;"fibrosarcoma; osteosarcoma";"benign/unspecified musculoskeletal neoplasm L97; secondary neoplasms (code to original site)";characteristic histological appearance;;
L72;Fraktur av radius / ulna;Fracture: radius/ulna;Colles' fracture;"pathological fracture (osteoporosis) L95; pathological fracture NOS L99; non-union L99";"imaging evidence of a fracture; or trauma plus visible/palpable deformity or crepitus involving the bone";"arm symptom L09; musculoskeletal injury NOS L81";
L73;Fraktur av tibia / fibula;Fracture: tibia/fibula;Pott's fracture;"fracture patella L76; pathological fracture (osteoporosis) L95; pathological fracture NOS L99; non-union L99";"imaging evidence of a fracture; or trauma plus visible/palpable deformity or crepitus involving the bone";"leg symptom L14; ankle symptom L16; musculoskeletal injury NOS L81";
L74;Fraktur av handens / fotens ben;Fracture: hand/foot bone;"fracture carpal/metacarpal bone; fracture phalange hand/foot; fracture tarsal/metatarsal bone";"pathological fracture (osteoporosis) L95; pathological fracture NOS L99; non-union L99";"imaging evidence of a fracture; or trauma plus visible/palpable deformity or crepitus involving the bone";"arm symptom L09; leg symptom L14; musculoskeletal injury NOS L81";
L75;Fraktur av lårben;Fracture: femur;;"pathological fracture (osteoporosis) L95; pathological fracture  NOS L99; non-union L99";"imaging evidence of a fracture; or trauma plus visible/palpable deformity or crepitus involving the bone";"leg symptom L14; musculoskeletal injury NOS L81";
L76;Annan fraktur;Fracture: other;;"fractures in radius/ulna L72; fractures in tibia/fibula L73; fractures in hand/foot bone L74; fractures in femur L75; pathological fracture (osteoporosis) L95; pathological fracture  NOS L99; non-union L99; skull fracture N80";"imaging evidence of a fracture; or trauma plus visible/palpable displacement of the bone surface";symptoms in component 1 **;
L77;Stukning / försträckning av vrist;Sprain/strain of ankle;;;stretch injury of the affected part plus pain aggravated by stretching or tensing the affected structure;ankle symptom L16;
L78;Stukning / försträckning av knä;Sprain/strain of knee;;acute damage of meniscus/internal ligament of knee L96;stretch injury of the affected part plus pain aggravated by stretching or tensing the affected structure;;
L79;Stukning / försträckning av annan led;Sprain/strain of joint NOS;"sprain/strain of other joint/ligament; whiplash";"sprain/strain ankle L77; sprain/strain knee L78; back strain L84";stretch injury of the affected part plus pain aggravated by stretching or tensing the affected structure;symptoms in component 1 **;
L80;Dislokation;Dislocation/subluxation;dislocation/subluxation any site, including spine;;trauma to the joint plus either imaging evidence of a dislocation/ subluxation, or visible/palpable dislocation deformity;symptoms in component 1 **;code fracture dislocations to the fracture
L81;Annan muskuloskeletal skada;Injury musculoskeletal NOS;"deep foreign body; traumatic amputation; traumatic hemartrosis";"internal injury of chest/abdomen/pelvis, multiple trauma A81; late effect trauma/deformity/disability/scarring A82; injury teeth D80; injury eardrum H77; traumatic arthropathy L91; non-/mal-union of fracture L99; head injury/ concussion/intracranial injury/skull fracture N80; laceration/other injury to nerve N81; insect bite/sting S12; animal bite S13; bruise/contusion S16; laceration/open wound S18";;;
L82;Medfödd muskuloskeltal missbildning;Congenital anomaly musculoskeletal;"bow leg; clubfoot (talipes); congenital dislocation of hip; congenital malformation of skull and face; genu recurvatum; other congenital deformity of the foot";"scoliosis L85; pes planus (acquired) L98; spina bifida N85";;;
L83;Nacksyndrom;Neck syndrome;"cervical disc lesion  with/without radiation of pain; cervicobrachial syndrome with/without radiation of pain; cervicogenic headache  with/without radiation of pain; osteoarthritis of neck  with/without radiation of pain; radicular syndrome of upper limbs  with/without radiation of pain; spondylosis  with/without radiation of pain; torticollis  with/without radiation of pain";;;;
L84;Ryggsjukdom utan utstrålning;Back syndrome without radiat pain;"back strain; collapsed vertebra NOS; facet joint degeneration; osteoarthrosis/osteoarthritis of spine; spondylolisthesis; spondylosis";"coccydynia L03; syndrome related to the neck L83; back pain with radiation/sciatica L86; psychogenic backache P75";back pain without radiation plus limitation of movement confirmed at medical examination;"symptom/complaint back L02; symptom/complaint low back L03";
L85;Förvärvad ryggradsdeformitet;Acquired deformity of spine;"kyphoscoliosis; kyphosis; lordosis; scoliosis";"congenital deformity L82; spondylolisthesis L84; ankylosing spondylitis L88";;;
L86;Ryggsjukdom med utstrålning;Back syndrome with radiating pain;"disc prolapse/degeneration; sciatica";"cervical disc lesion L83; spondylolisthesis L84; recent back strain L84";"pain in the lumbar/thoracic region of the spine, accompanied by pain radiating to, or a neurological deficit of an appropriate area; or sciatica, pain radiating down the back of the leg, aggravated by coughing, movement, or posture; or demonstration of a prolapsed lumbar or thoracic disc by appropriate imaging technique, or at surgery";"back pain L02; low back pain L03";exclude referred pain which is diffuse
L87;Bursit / tenovit / synovit, ospecificerad;Bursitis/tendinitis/synovitis NOS;"bone spurs; calcified tendon; Dupuytren's contracture; fasciitis; ganglion; synovial cysts; tenosynovitis; trigger finger";"bursitis/tendinitis/synovitis of shoulder L92; tennis elbow/lateral epicondylitis L93";;;
L88;Rheumatoid / seropositiv artrit;Rheumatoid/seropositive arthritis;"allied condition: ankylosing spondylitis; allied condition: juvenile arthritis";psoriatic arthropathy L99;;;
L89;Höftledsartros;Osteoarthrosis of hip;osteoarthritis of hip secondary to dysplasia/trauma;;"either characteristic imaging appearance; or joint disorder of at least 3 months' duration, with no constitutional symptoms such as fever, malaise, etc. and three or more of the following: intermittent swelling; crepitation; stiffness/limitation of movement; normal ESR, rheumatoid tests, and uric acid; over 40 years of age";"joint symptom L20; arthritis NOS L91";
L90;Knäledsartros;Osteoarthrosis of knee;osteoarthritis of knee secondary to dysplasia/trauma;;"either characteristic imaging appearance; or joint disorder of at least 3 months' duration, with no constitutional symptoms such as fever, malaise, etc. and three or more of the following: intermittent swelling; crepitation; stiffness/limitation of movement; normal ESR, rheumatoid tests, and uric acid; over 40 years of age";"joint symptom L20; arthritis NOS L91";
L91;Annan artros;Osteoarthrosis other;"arthritis NOS; osteoarthritis; traumatic arthropathy";"osteoarthrosis of neck L83; osteoarthrosis of spine L84; osteoarthosis of hip L89; osteoarthrosis of knee L90; osteoarthrosis of shoulder L92";"either characteristic imaging appearance; or joint disorder of at least 3 months' duration, with no constitutional symptoms such as fever, malaise, etc. and three or more of the following: intermittent swelling; crepitation; stiffness/limitation of movement; normal ESR, rheumatoid tests, and uric acid; over 40 years of age";joint symptom L20;
L92;Skuldersyndrom;Shoulder syndrome;"bursitis of shoulder; frozen shoulder; osteoarthrosis/synovitis of shoulder; rotator cuff syndrome; tendinitis around shoulder";;"shoulder pain with limitation of movement/local tenderness/crepitus; or periarticular calcification on imaging";;
L93;Tennisarmbåge;Tennis elbow;lateral epicondylitis;other tendinitis L87;;;
L94;Osteochondros;Osteochondrosis;"Legg-Calvé-Perthes disease; Osgood-Schlatter disease; osteochondritis dissecans; Scheuermann's disease; slipped femoral epiphysis";;;;
L95;Osteoporos;Osteoporosis;pathological fracture due to osteoporosis;;characteristic imaging appearance;;
L96;Akut meniskskada i knä;Acute internal damage knee;acute damage to meniscus/cruciate ligaments;"acute damage to collateral ligaments L78; dislocation of patella L80; chronic internal damage to knee L99";an initial injury which occurred no longer than one month previously and demonstration of ligament/meniscus tear by surgery/arthroscopy/imaging, or by locking/giving way, pain, and swelling of knee;"knee symptom L15; sprain of knee L78";
L97;Benign / ospec.muskuloskeletal tumör;Neoplasm musculoskel benign/unspec;"benign musculoskeletal neoplasm; musculoskeletal neoplasm not specified as benign or malignant/when histology is not available";malignant musculoskeletal neoplasm L71;;;
L98;Förvärvad deformitet i extremiteterna;Acquired deformity of limb;"bunion; genu valgum-varum; hallux valgus/varus; mallet finger; pes planus (flatfoot)";"general congenital deformity/anomaly A90; musculoskeletal genital deformity/anomaly L82";;;
L99;Annan muskuloskeletal sjukdom;Musculoskeletal disease other;"arthrodesis; chronic internal derangement of knee; contractures; costochondritis; dermatomyositis; disorder of patella; malunion/ non-union of fracture; myositis; Paget's disease of bone; pathological fracture N0S; polymyalgia rheumatica; psoriatic arthritis (code also S91); Reiter's disease; scleroderma; Sjogren's syndrome; spontaneous rupture tendon; systemic lupus erythematosis";"pathological fracture due to osteoporosis L95; post-stroke paralysis N18; post-polio paralysis N70; gout T92; pseudogout/crystal arthropathy, osteomalacia T99; hyperuricaemia T99";;;
N01;Huvudvärk;Headache;post-traumatic headache;"cervicogenic headache L83; face pain N03; migraine N89; cluster headache N90; tension headache N95; atypical facial neuralgia N99; sinus pain R09; post-herpetic pain S70";;;
N03;Ansiktssmärta;Pain face;;"toothache D19; headache N01; migraine N89; trigeminal neuralgia N92; sinus pain R09; post herpetic pain S70";;;
N04;Restless legs;Restless legs;;"intermittent claudication K92; leg cramps L14";;;
N05;Myrkrypningar i fingrar / fötter / tår;Tingling fingers/feet/toes;"burning sensation; paraesthesia; prickly feeling fingers/feet/toes";pain/tenderness of skin S01;;;
N06;Annan känslorubbning;Sensation disturbance other;"anaesthesia; numbness";"tingling fingers/feet/toes N05; pain/tenderness of skin S01";;;
N07;Kramper / krampanfall;Convulsion/seizure;"febrile convulsion; fit";"fainting A06; transient ischaemic attack K89";;;
N08;Onormala ofrivilliga rörelser;Abnormal involuntary movements;"dystonic movements; jerking; myoclonus; shaking; tetany; tremor; twitching";"chorea K71; cramps/spasm jaw L07; cramps/spasm arm L09; cramps/spasm hand/finger L12; cramps/spasm leg/thigh L14; cramps/spasm foot/toe L17; cramps/spasm muscle L18; restless legs N04; convulsion N07; tic douloureux N92; dystonia N99; organic tic N99; psychogenic tic P10";;;
N16;Smak- och luktrubbningar;Disturbance of smell/taste;anosmia;halitosis D20;;;
N17;Svindel / yrsel;Vertigo/dizziness;"feeling faint/lightheaded; giddiness; loss of balance; woozy";"syncope/blackout A06; motion sickness A88; specific vertiginous syndrome H82";;;
N18;Förlamning / svaghet;Paralysis/weakness;"paraplegia; paresis; tetraplegia";general weakness A04;;;
N19;Talrubbingar;Speech disorder;"aphasia; dysarthria; dysphasia; slurred speech";"stammering/stuttering P10; speech delay P22; hoarseness R23";;;
N26;Rädsla för cancer i nervsystemet;Fear cancer neurological system;;if the patient has the disease, code the disease;concern about/fear of neurological cancer in a patient without the disease/until the diagnosis is proven;;
N27;Rädsla för annan nervsjukdom;Fear of neurological disease other;;"fear of neurological cancer N26; if the patient has the disease, code the disease";concern about/fear of other neurological disease in a patient without the disease/until the diagnosis is proven;;
N28;Funktionsbegränsning / handikapp (N);Limited function/disability (N);;;limitation of function/disability due to a neurological problem;;The COOP/WONCA Charts are suitable for documenting the patient's functional status (see Chapter 8).
N29;Annat symptom/ besvär i nervsystemet;Neurological sympt/complt other;"ataxia; gait abnormality; limping; meningism";;;;
N70;Poliomyelit;Poliomyelitis;"late effect of poliomyelitis; other neurological enterovirus infection; post-polio syndrome";;;;
N71;Meningit / encefalit;Meningitis/encephalitis;;;an acute febrile illness with abnormal findings in the cerebro-spinal fluid.;"fever A03; meningism N29";
N72;Tetanus / stelkramp;Tetanus;;tetany N08;rigidity, hypertonic contractions or tetanic spasticity and a history of preceding injury;;
N73;Annan infektion i nervsystemet;Neurological infection other;"cerebral abscess; slow virus infection";"poliomyelitis N70; meningitis/encephalitis N71; acute polyneuritis N94";;;
N74;Malign tumör i nervsystemet;Malignant neoplasm nervous system;;;characteristic histological appearance;unspecified neoplasm nervous system N76;
N75;Benign tumör i nervsystemet;Benign neoplasm nervous system;"acoustic neuroma; meningioma";;;;
N76;tumör UNS i nervsystemet;Neoplasm nervous system unspecified;neoplasm nervous system not specified as benign or malignant/when histology is not available;neurofibromatosis A90;;;
N79;Hjärnskakning;Concussion;late effect of concussion;;trauma to the head with a temporary loss of consciousness and/or neurological sequela;"other head injury N80; psychological effects of concussion P02";
N80;Annan huvudskada;Head injury other;"cerebral contusion; cerebral injury with/without skull fracture; extradural haematoma; subdural haematoma; traumatic intracranial haemorrhage";concussion N79;trauma to the head, complicated by cerebral damage;;
N81;Annan skada på nervsystemet;Injury nervous system other;"nerve injury; spinal cord injury";;;;
N85;Medfödd missbildning i nervsystemet;Congenital anomaly neurological;"hydrocephalus; spina bifida";;;;
N86;Multipel skleros;Multiple sclerosis;disseminated sclerosis;;exacerbations/remissions of multiple neurological manifestation with deficits/derangements disseminated in both time and site (any combination of neurological signs and symptoms is possible);other neurological symptom N29;
N87;Parkinsonism;Parkinsonism;"drug induced Parkisonism; paralysis agitans; Parkinson's disease";;poverty and slowness of voluntary movements, resting tremor improving with active purposeful movement and muscular rigidity;"abnormal involuntary movements N08; disorder of speech N19";
N88;Epilepsi;Epilepsy;"All types of epilepsy:; focal seizures; generalized seizures; grand mal; petit mal; status epilepticus";;recurrent episodes of sudden altered consciousness, with/without tonic/clonic movements/seizure, plus either eyewitness account of the attack, or characteristic abnormality of electroencephalogram (EEG);"convulsion N07; other neurological symptom N29";
N89;Migrän;Migraine;vascular headache with/without aura;"cervicogenic headache L83; cluster headache N90; tension headache N95";"recurrent episodes of headache with three or more of  the following: unilateral headache; nausea/vomiting; aura; other neurological symptoms; family history of migraine";headache N01;
N90;Clusterhuvudvärk;Cluster headache;;migraine N89;attacks of severe, often excruciating unilateral pain peri-orbitally and/or temporally, occurring up to 8 times a day, sometimes associated with conjunctival injection, lacrimation, nasal congestion, rhinorrhoea, sweating, miosis, ptosis, or eyelid edema. Attacks occur in cluster periods lasting weeks/months, separated by remissions lasting months/years;;
N91;Ansiktsförlamning / Bells pares;Facial paralysis/bell's palsy;;;acute onset of unilateral paralysis of muscles of facial expression without sensory loss;paralysis/weakness N18;
N92;Trigeminusneuralgi;Trigeminal neuralgia;tic douloureux;post-herpetic neuralgia S70;unilateral paroxysms of burning facial pain aggravated by touching triggerpoints, blowing nose or yawning, without sensory or motor paralysis;neuralgia NOS N99;
N93;Karpaltunnelsyndrom;Carpal tunnel syndrome;;;loss/impairment of superficial sensation affecting the thumb, index and middle finger, that may or may not split the ring finger. Dysesthesia and pain worsen usually during the night, and may radiate to the forearm;sensation disturbance N06;
N94;Perifer neurit eller neuropati;Peripheral neuritis/neuropathy;"acute infective polyneuropathy; diabetic neuropathy (double code with T89, T90); Guillain-Barre syndrome; nerve lesion; neuropathy; phantom limb";post-herpetic neuropathy S70;sensory, reflex and motor changes confined to the territory of individual nerves, sometimes without apparent cause, sometimes secondary to a specific disease, e.g. diabetes;;
N95;Spänningshuvudvärk;Tension headache;;"migraine N89; cluster headache N90";pressing, generalized headache associated with stress and muscle tension with/without increased tenderness of pericranial muscles;headache N01;
N99;Annan sjukdom i nervsystemet;Neurological disease other;"cerebral palsy; motor neurone disease; myasthenia gravis; neuralgia NOS";sleep apnoea P06;;;
P01;Känsla av ångest / nervositet / spänning;Feeling anxious/nervous/tense;"anxiety NOS; feeling frightened";anxiety disorder P74;feelings reported by the patient as an emotional or psychological experience not attributed to the presence of a mental disorder. A gradual transition exists from feelings that are unwelcome - but quite normal - and feelings that are so troublesome to the patient that professional help is sought;;
P02;Akut stressreaktion;Acute stress reaction;"adjustment disorder; culture shock; feeling stressed/grief/ homesick; immediate post-traumatic stress; shock (psychic)";"feeling depressed P03; depressive disorder P76; post-traumatic stress disorder P82";a reaction to a stressful life event or significant life change requiring a major adjustment, either as an expected response to the event or as a maladaptive response interfering with daily coping and resulting in impaired social functioning, with recovery within a limited period of time;;
P03;Känna sig deprimerad;Feeling depressed;"feeling inadequate; unhappy; worried";"low self-esteem P28; depressive disorder P76";feelings reported by the patient as an emotional or psychological experience not attributed to the presence of a mental disorder. A gradual transition exists from feelings that are unwelcome - but quite normal - and feelings that are so troublesome to the patient that professional help is sought;;
P04;Retlighet / retligt beteende;Feeling/behaving irritable/angry;"agitation NOS; restlessness NOS";"overactive child P22; irritability in partner Z13";feelings reported by the patient as an emotional or psychological experience not attributed to the presence of a mental disorder, or behaviour indicating irritability or anger. A gradual transition exists from feelings or behaviour that are unwelcome - but quite normal - and those that are so troublesome that professional help is sought;;
P05;Senilitet / åldringskänsla / -beteende;Senility, feeling/behaving old;"concern with aging; senescence";dementia P70;feelings reported by the patient as an emotional or psychological experience not attributed to the presence of a mental disorder. A gradual transition exists from feelings that are unwelcome - but quite normal - and feelings that are so troublesome to the patient that professional help is sought;;
P06;Sömnrubbning;Sleep disturbance;"insomnia; nightmares; sleep apnoea; sleepwalking";"somnolence A29; jet lag A88";sleep disturbance as a diagnosis requires that the sleeping problem forms a major complaint, which, according to both patient and doctor, is not caused by another disorder but is a condition in its own right. Insomnia requires a quantitative or qualitative deficiency of sleep which is unsatisfactory in the patients' opinion, over a considerable period of time. In hypersomnia excessive daytime sleepiness and sleep attacks exist which limit the patient's performance;;
P07;Nedsatt sexualdrift;Sexual desire reduced;"frigidity; loss of libido";"non-organic impotence/loss of sexual fulfilment P08; concern with sexual preference P09";sexual problems with regard to desire not caused by any organic disorder or disease, but a reflection of the inability of a patient to participate in the sexual relationship s/he wants because of lack of desire, failure of genital response or function;;
P08;Nedsatt förmåga till sexuell tillfredsställelse;Sexual fulfilment reduced;"non-organic impotence or dyspareunia; premature ejaculation; vaginismus of psychogenic origin";"sexual problems with desire P07; concern with sexual preference P09; vaginismus NOS X04; organic impotence/sexual problems Y07";sexual problems with regard to fulfilment not caused by any organic disorder or disease, but a reflection of the inability of a patient to participate in the sexual relationship s/he wants because of failure of genital response or function, or problems with sexual development;;
P09;Bekymmer angående sexuell preferens;Sexual preference concern;;"reduced sexual desire P07; reduced sexual fulfilment P08";sexual problems with regard to preference not caused by any organic disorder or disease, but a reflection of the inability of a patient to participate in the sexual relationship s/he wants because of problems with sexual identity, preference or orientation;;
P10;Stamning /skenande tal / tics;Stammering/stuttering/tic;;"speech disorders N19; tic douloureux N92";stammering and stuttering: is characterized by frequent repetitions/prolongations of sounds, or by frequent hesitations/pauses disrupting speech;;
P11;Problem med ätande hos barn;Eating problem in child;"feeding problem; problem with eating behaviour of child";"anorexia nervosa P86; eating problem in adult T05";;;Problems with behaviour of children are particularly difficult to classify, which is illustrated by the fact that they are distributed over four chapters of ICPC. Whether or not parents present these problems to a GP will reflect their ideas about the gradual differences between normal - though maybe annoying - behaviour, and behaviour that is considered worrying or 'pathological'
P12;Sängvätning / enures;Bedwetting/enuresis;;bedwetting due to organic disorder U04;involuntary voiding of urine by day/night not determined to be related to any organic disorder;;Problems with behaviour of children are particularly difficult to classify, which is illustrated by the fact that they are distributed over four chapters of ICPC. Whether or not parents present these problems to a GP will reflect their ideas about the gradual differences between normal - though maybe annoying - behaviour, and behaviour that is considered worrying or 'pathological'
P13;Enkopres;Encopresis/bowel training problem;;;encopresis requires repeated passage of usually well formed faeces in inappropriate places, considered abnormal in relation to age, and not caused by constipation/sphincter control disorder/another disease;;
P15;Kroniskt alkoholmissbruk;Chronic alcohol abuse;"alcohol brain syndrome; alcohol psychosis; alcoholism; delirium tremens";;"a disorder due to the use of alcohol resulting in one or more of the following: harmful use with clinically important damage to health; dependence syndrome; withdrawal state; psychotic disorder";;Substance abuse problem definitions should take into account the considerable differences between countries and cultures. A doctor can decide to label an episode as 'chronic alcohol abuse'  without the patient's agreement, and consequently also without the patient's  willingness to any medical intervention.
P16;Akut alkoholmissbruk;Acute alcohol abuse;drunk;;a disorder due to the use of alcohol resulting in acute intoxication, with/without a background of chronic abuse;;A doctor can decide to label an episode as 'acute alcohol abuse' without the  patient's agreement, and consequently also without the patient's  willingness to agree to any medical intervention.
P17;Tobaksmissbruk;Tobacco abuse;smoking problem;;"a disorder due to the use of tobacco resulting in one or more of the following: acute intoxication; harmful use with clinically important damage to health; dependence syndrome; withdrawal state";risk factor NOS A23;Substance abuse problem definitions should take into account the considerable differences between countries and cultures. An alcohol dependent or heroin addicted patient needs medical attention, but the definitions of 'tobacco abuse' are controversial. A physician can decide to label an episode as 'tobacco abuse' without the patients agreement, and consequently also without the'patient's willingness to agree to any medical intervention
P18;Medicinmissbruk;Medication abuse;abuse of any prescribed drug;;;;Substance abuse problem definitions should take into account the considerable differences between countries and cultures. Some patients request and use tranquillizers, sleeping tablets, anorectics or laxatives inappropriately and for too long. In these cases physicians can decide to label the episode as 'medicine abuse' without the patients' agreement, and consequently also without the patient's willingness to agree to any medical intervention.
P19;Drogmissbruk;Drug abuse;"addiction to drug; drug withdrawal";;"a disorder due to the use of a dependence producing psychoactive substance, resulting in one or more ofthe following conditions: acute intoxication; harmful use with clinically important damage to health; dependence syndrome; withdrawal state; psychotic disorder";;Substance abuse problem definitions should take into account the considerable differences between countries and cultures. An alcohol dependent or heroin addicted patient needs medical attention, but the definitions of 'use of hashish' are controversial. Doctors can decide to label an episode as 'drug abuse' without the patient's agreement, and consequently also without the patient's willingness to agree to any medical intervention.
P20;Minnesstörning;Memory disturbance;"amnesia; disorientation; disturbance of concentration";;;;
P22;Beteendesymptom / -besvär hos barn;Child behaviour symptom/complaint;"delayed milestones; jealousy; overactive child; speech delay; temper tantrum";"behaviour symptom/complaint adolescent, P23; behaviour symptom/complaint adult P80; concern about physical development/growth delay T10";;;
P23;Specifikt inlärningsproblem;Adolescent behaviour sympt/compl;delinquency;"behavior symptom/complaint child P22; behavior symptom/complaint adult P80; Hyperkinetic disorder P81";;;
